GCF_000005825.2	Bacillus pseudofirmus OF4
GCF_000010625.1	Microcystis aeruginosa NIES-843
GCF_000010645.1	Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2
GCF_000010665.1	Desulfovibrio magneticus RS-1
GCF_000010705.1	Streptococcus dysgalactiae subsp. equisimilis GGS_124
GCF_000010725.1	Azospirillum sp. B510
GCF_000010785.1	Hydrogenobacter thermophilus TK-6
GCF_000010805.1	Rhodococcus opacus B4
GCF_000010825.1	Acetobacter pasteurianus IFO 3283-01
GCF_000010985.1	Deferribacter desulfuricans SSM1
GCF_000011025.1	Rothia mucilaginosa DY-18
GCF_000011045.1	Lactobacillus rhamnosus GG
GCF_000011065.1	Bacteroides thetaiotaomicron VPI-5482
GCF_000011085.1	Haloarcula marismortui ATCC 43049
GCF_000011105.1	Pyrococcus horikoshii OT3
GCF_000011145.1	Bacillus halodurans C-125
GCF_000011185.1	Thermoplasma volcanium GSS1
GCF_000011205.1	Sulfolobus tokodaii str. 7
GCF_000011225.1	Mycoplasma penetrans HF-2
GCF_000011245.1	Oceanobacillus iheyensis HTE831
GCF_000011305.1	Corynebacterium efficiens YS-314
GCF_000011345.1	Thermosynechococcus elongatus BP-1
GCF_000011365.1	Bradyrhizobium diazoefficiens USDA 110
GCF_000011385.1	Gloeobacter violaceus PCC 7421
GCF_000011445.1	Mycoplasma mycoides subsp. mycoides SC str. PG1
GCF_000011465.1	Prochlorococcus marinus subsp. pastoris str. CCMP1986
GCF_000011485.1	Prochlorococcus marinus str. MIT 9313
GCF_000011545.1	Burkholderia pseudomallei K96243
GCF_000011585.1	Methanococcus maripaludis S2
GCF_000011605.1	Pectobacterium atrosepticum SCRI1043
GCF_000011685.1	Gluconobacter oxydans 621H
GCF_000011725.1	Helicobacter pylori 51
GCF_000011745.1	Candidatus Blochmannia pennsylvanicus str. BPEN
GCF_000011785.1	Haemophilus somnus 129PT
GCF_000011805.1	Vibrio fischeri ES114
GCF_000011825.1	Streptococcus thermophilus LMG 18311
GCF_000011905.1	Dehalococcoides mccartyi 195
GCF_000011945.1	Anaplasma marginale str. St. Maries
GCF_000011965.2	Ruegeria pomeroyi DSS-3
GCF_000011985.1	Lactobacillus acidophilus NCFM
GCF_000012085.1	Borrelia turicatae 91E135
GCF_000012145.1	Rickettsia felis URRWXCal2
GCF_000012185.1	Haemophilus influenzae 86-028NP
GCF_000012205.1	Pseudomonas savastanoi pv. phaseolicola 1448A
GCF_000012225.1	Aster yellows witches'-broom phytoplasma AYWB
GCF_000012245.1	Pseudomonas syringae pv. syringae B728a
GCF_000012265.1	Pseudomonas protegens Pf-5
GCF_000012285.1	Sulfolobus acidocaldarius DSM 639
GCF_000012305.1	Psychrobacter arcticus 273-4
GCF_000012325.1	Colwellia psychrerythraea 34H
GCF_000012345.1	Candidatus Pelagibacter ubique HTCC1062
GCF_000012365.1	Burkholderia thailandensis E264
GCF_000012385.1	Rickettsia bellii RML369-C
GCF_000012405.1	Thermobifida fusca YX
GCF_000012425.1	Dechloromonas aromatica RCB
GCF_000012445.1	Pseudomonas fluorescens Pf0-1
GCF_000012465.1	Prochlorococcus marinus str. NATL2A
GCF_000012485.1	Chlorobium luteolum DSM 273
GCF_000012505.1	Synechococcus sp. CC9902
GCF_000012545.1	Methanosphaera stadtmanae DSM 3091
GCF_000012565.1	Ehrlichia canis str. Jake
GCF_000012585.1	Chlorobium chlorochromatii CaD3
GCF_000012605.1	Thiomicrospira crunogena XCL-2
GCF_000012625.1	Synechococcus sp. CC9605
GCF_000012645.1	Prochlorococcus marinus str. MIT 9312
GCF_000012665.1	Desulfovibrio alaskensis G20
GCF_000012685.1	Myxococcus xanthus DK 1622
GCF_000012725.1	Nitrobacter winogradskyi Nb-255
GCF_000012745.1	Thiobacillus denitrificans ATCC 25259
GCF_000012765.1	Mycoplasma capricolum subsp. capricolum ATCC 27343
GCF_000012805.1	Nitrosococcus oceani ATCC 19707
GCF_000012825.1	Bacteroides vulgatus ATCC 8482
GCF_000012845.1	Parabacteroides distasonis ATCC 8503
GCF_000012865.1	Carboxydothermus hydrogenoformans Z-2901
GCF_000012885.1	Pelobacter carbinolicus DSM 2380
GCF_000012925.1	Geobacter metallireducens GS-15
GCF_000012945.1	Burkholderia lata
GCF_000012965.1	Sulfurimonas denitrificans DSM 1251
GCF_000012985.1	Hahella chejuensis KCTC 2396
GCF_000013005.1	Erythrobacter litoralis HTCC2594
GCF_000013025.1	Hyphomonas neptunium ATCC 15444
GCF_000013045.1	Salinibacter ruber DSM 13855
GCF_000013085.1	Rhodospirillum rubrum ATCC 11170
GCF_000013105.1	Moorella thermoacetica ATCC 39073
GCF_000013125.1	Anaplasma phagocytophilum str. HZ
GCF_000013145.1	Ehrlichia chaffeensis str. Arkansas
GCF_000013165.1	Neorickettsia sennetsu str. Miyayama
GCF_000013185.1	Baumannia cicadellinicola str. Hc (Homalodisca coagulata)
GCF_000013205.1	Synechococcus sp. JA-3-3Ab
GCF_000013225.1	Synechococcus sp. JA-2-3B'a(2-13)
GCF_000013245.1	Helicobacter pylori HPAG1
GCF_000013325.1	Novosphingobium aromaticivorans DSM 12444
GCF_000013345.1	Frankia casuarinae
GCF_000013365.1	Rhodopseudomonas palustris HaA2
GCF_000013385.1	Anaeromyxobacter dehalogenans 2CP-C
GCF_000013405.1	Syntrophus aciditrophicus SB
GCF_000013445.1	Methanospirillum hungatei JF-1
GCF_000013565.1	Jannaschia sp. CCS1
GCF_000013605.1	Rhodoferax ferrireducens T118
GCF_000013625.1	Janthinobacterium sp. Marseille
GCF_000013645.1	Paraburkholderia xenovorans LB400
GCF_000013665.1	Saccharophagus degradans 2-40
GCF_000013685.1	Rhodopseudomonas palustris BisB5
GCF_000013705.1	Methylobacillus flagellatus KT
GCF_000013725.1	Methanococcoides burtonii DSM 6242
GCF_000013745.1	Rhodopseudomonas palustris BisB18
GCF_000013765.1	Shewanella denitrificans OS217
GCF_000013785.1	Pseudomonas stutzeri A1501
GCF_000013865.1	Polaromonas sp. JS666
GCF_000013885.1	Nitrobacter hamburgensis X14
GCF_000013905.1	Psychrobacter cryohalolentis K5
GCF_000013945.1	Leptospira borgpetersenii serovar Hardjo-bovis str. L550
GCF_000013985.1	Sphingopyxis alaskensis RB2256
GCF_000014005.1	Candidatus Koribacter versatilis Ellin345
GCF_000014025.1	Arcobacter butzleri RM4018
GCF_000014045.1	Roseobacter denitrificans OCh 114
GCF_000014065.1	Ruegeria sp. TM1040
GCF_000014085.1	Burkholderia cenocepacia AU 1054
GCF_000014125.1	Clostridium novyi NT
GCF_000014145.1	Cytophaga hutchinsonii ATCC 33406
GCF_000014165.1	Mycobacterium sp. MCS
GCF_000014185.1	Rubrobacter xylanophilus DSM 9941
GCF_000014205.1	Streptococcus sanguinis SK36
GCF_000014225.1	Pseudoalteromonas atlantica T6c
GCF_000014245.1	Chelativorans sp. BNC1
GCF_000014265.1	Trichodesmium erythraeum IMS101
GCF_000014285.1	Granulibacter bethesdensis CGDNIH1
GCF_000014345.1	Rickettsia canadensis str. McKiel
GCF_000014385.1	Oenococcus oeni PSU-1
GCF_000014405.1	Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365
GCF_000014425.1	Lactobacillus gasseri ATCC 33323 = JCM 1131
GCF_000014445.1	Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293
GCF_000014465.1	Lactobacillus brevis ATCC 367
GCF_000014505.1	Pediococcus pentosaceus ATCC 25745
GCF_000014525.1	Lactobacillus paracasei ATCC 334
GCF_000014565.1	Rhodococcus jostii RHA1
GCF_000014585.1	Synechococcus sp. CC9311
GCF_000014665.1	Shewanella sp. MR-7
GCF_000014705.1	Shewanella frigidimarina NCIMB 400
GCF_000014725.1	Syntrophomonas wolfei subsp. wolfei str. Goettingen G311
GCF_000014745.1	Maricaulis maris MCS10
GCF_000014765.1	Nitrosomonas eutropha C91
GCF_000014785.1	Alkalilimnicola ehrlichii MLHE-1
GCF_000014805.1	Aeromonas hydrophila subsp. hydrophila ATCC 7966
GCF_000014825.1	Rhodopseudomonas palustris BisA53
GCF_000014865.1	Magnetococcus marinus MC-1
GCF_000014885.1	Shewanella piezotolerans WP3
GCF_000014905.1	Candidatus Solibacter usitatus Ellin6076
GCF_000014925.1	Paenarthrobacter aurescens TC1
GCF_000014965.1	Syntrophobacter fumaroxidans MPOB
GCF_000015005.1	Mycobacterium smegmatis str. MC2 155
GCF_000015025.1	Acidothermus cellulolyticus 11B
GCF_000015045.1	Pelobacter propionicus DSM 2379
GCF_000015085.1	Campylobacter fetus subsp. fetus 82-40
GCF_000015105.1	Candidatus Ruthia magnifica str. Cm (Calyptogena magnifica)
GCF_000015125.1	Chlorobium phaeobacteroides DSM 266
GCF_000015145.1	Hyperthermus butylicus DSM 5456
GCF_000015165.1	Bradyrhizobium sp. BTAi1
GCF_000015185.1	Shewanella sp. W3-18-1
GCF_000015205.1	Pyrobaculum islandicum DSM 4184
GCF_000015225.1	Thermofilum pendens Hrk 5
GCF_000015245.1	Shewanella amazonensis SB2B
GCF_000015265.1	Nocardioides sp. JS614
GCF_000015285.1	Psychromonas ingrahamii 37
GCF_000015305.1	Mycobacterium vanbaalenii PYR-1
GCF_000015325.1	Acidovorax citrulli AAC00-1
GCF_000015345.1	Dichelobacter nodosus VCS1703A
GCF_000015365.1	Marinobacter hydrocarbonoclasticus VT8
GCF_000015385.1	Lactobacillus helveticus DPC 4571
GCF_000015445.1	Bartonella bacilliformis KC583
GCF_000015485.1	Desulfovibrio vulgaris DP4
GCF_000015505.1	Polaromonas naphthalenivorans CJ2
GCF_000015545.1	Acidovorax sp. JS42
GCF_000015565.1	Verminephrobacter eiseniae EF01-2
GCF_000015585.1	Halorhodospira halophila SL1
GCF_000015645.1	Prochlorococcus marinus str. AS9601
GCF_000015665.1	Prochlorococcus marinus str. MIT 9515
GCF_000015705.1	Prochlorococcus marinus str. MIT 9303
GCF_000015725.1	Methylibium petroleiphilum PM1
GCF_000015745.1	Geobacillus thermodenitrificans NG80-2
GCF_000015765.1	Methanocorpusculum labreanum Z
GCF_000015785.1	Bacillus velezensis FZB42
GCF_000015825.1	Methanoculleus marisnigri JR1
GCF_000015845.1	Shewanella baltica OS155
GCF_000015865.1	Ruminiclostridium thermocellum ATCC 27405
GCF_000015885.1	Actinobacillus pleuropneumoniae serovar 5b str. L20
GCF_000015945.1	Staphylothermus marinus F1
GCF_000015965.1	Prochlorococcus marinus str. MIT 9301
GCF_000015985.1	Rhodobacter sphaeroides ATCC 17029
GCF_000016065.1	Shewanella loihica PV-4
GCF_000016085.1	Chlorobium phaeovibrioides DSM 265
GCF_000016125.1	Methanococcus maripaludis C5
GCF_000016165.1	Desulfotomaculum reducens MI-1
GCF_000016185.1	Rhodospirillum centenum SW
GCF_000016205.1	Burkholderia vietnamiensis G4
GCF_000016265.1	Agrobacterium radiobacter K84
GCF_000016285.1	Agrobacterium vitis S4
GCF_000016325.1	Enterobacter sp. 638
GCF_000016345.1	Polynucleobacter asymbioticus QLW-P1DMWA-1
GCF_000016365.1	Mycobacterium gilvum PYR-GCK
GCF_000016405.1	Rhodobacter sphaeroides ATCC 17025
GCF_000016425.1	Salinispora tropica CNB-440
GCF_000016525.1	Methanobrevibacter smithii ATCC 35061
GCF_000016545.1	Caldicellulosiruptor saccharolyticus DSM 8903
GCF_000016565.1	Pseudomonas mendocina ymp
GCF_000016605.1	Metallosphaera sedula DSM 5348
GCF_000016645.1	Flavobacterium johnsoniae UW101
GCF_000016665.1	Roseiflexus sp. RS-1
GCF_000016725.1	Acidiphilium cryptum JF-5
GCF_000016745.1	Geobacter uraniireducens Rf4
GCF_000016765.1	Sphingomonas wittichii RW1
GCF_000016885.1	Psychrobacter sp. PRwf-1
GCF_000016905.1	Thermosipho melanesiensis BI429
GCF_000016965.1	Clostridium beijerinckii NCIMB 8052
GCF_000016985.1	Alkaliphilus metalliredigens QYMF
GCF_000017005.1	Streptococcus gordonii str. Challis substr. CH1
GCF_000017025.1	Clostridium botulinum A str. ATCC 19397
GCF_000017145.1	Sinorhizobium medicae WSM419
GCF_000017165.1	Methanococcus vannielii SB
GCF_000017185.1	Methanococcus aeolicus Nankai-3
GCF_000017205.1	Pseudomonas aeruginosa PA7
GCF_000017225.1	Methanococcus maripaludis C7
GCF_000017245.1	Actinobacillus succinogenes 130Z
GCF_000017265.1	Phenylobacterium zucineum HLK1
GCF_000017285.1	Marinomonas sp. MWYL1
GCF_000017305.1	Kineococcus radiotolerans SRS30216 = ATCC BAA-149
GCF_000017405.1	Ochrobactrum anthropi ATCC 49188
GCF_000017425.1	Bacillus cytotoxicus NVH 391-98
GCF_000017465.2	Campylobacter curvus 525.92
GCF_000017505.1	Anaeromyxobacter sp. Fw109-5
GCF_000017545.1	Fervidobacterium nodosum Rt17-B1
GCF_000017565.1	Parvibaculum lavamentivorans DS-1
GCF_000017585.1	Campylobacter hominis ATCC BAA-381
GCF_000017605.1	Leptospira biflexa serovar Patoc strain 'Patoc 1 (Ames)'
GCF_000017625.1	Methanoregula boonei 6A8
GCF_000017645.1	Xanthobacter autotrophicus Py2
GCF_000017665.1	Cronobacter sakazakii ATCC BAA-894
GCF_000017705.1	Vibrio campbellii ATCC BAA-1116
GCF_000017725.2	Campylobacter concisus 13826
GCF_000017805.1	Roseiflexus castenholzii DSM 13941
GCF_000017845.1	Cyanothece sp. ATCC 51142
GCF_000017865.1	Pseudothermotoga lettingae TMO
GCF_000017885.4	Bacillus pumilus SAFR-032
GCF_000017945.1	Ignicoccus hospitalis KIN4/I
GCF_000018005.1	Frankia sp. EAN1pec
GCF_000018025.1	Shewanella sediminis HAW-EB3
GCF_000018045.1	Citrobacter koseri ATCC BAA-895
GCF_000018065.1	Prochlorococcus marinus str. MIT 9215
GCF_000018085.1	Serratia proteamaculans 568
GCF_000018105.1	Acaryochloris marina MBIC11017
GCF_000018145.1	Dinoroseobacter shibae DFL 12 = DSM 16493
GCF_000018185.1	Streptococcus suis GZ1
GCF_000018205.1	Rickettsia akari str. Hartford
GCF_000018265.1	Salinispora arenicola CNS-205
GCF_000018285.1	Shewanella pealeana ATCC 700345
GCF_000018305.1	Caldivirga maquilingensis IC-167
GCF_000018325.1	Alkaliphilus oremlandii OhILAs
GCF_000018345.1	Mycobacterium marinum M
GCF_000018365.1	Thermococcus onnurineus NA1
GCF_000018405.1	Desulfococcus oleovorans Hxd3
GCF_000018425.1	Candidatus Desulforudis audaxviator MP104C
GCF_000018445.1	Acinetobacter baumannii ACICU
GCF_000018485.1	Methanococcus maripaludis C6
GCF_000018545.1	Sinorhizobium fredii NGR234
GCF_000018605.1	Petrotoga mobilis SJ95
GCF_000018625.1	Salmonella enterica subsp. arizonae serovar 62:z4,z23:-
GCF_000018665.1	Delftia acidovorans SPH-1
GCF_000018685.1	Lachnoclostridium phytofermentans ISDg
GCF_000018785.1	Acholeplasma laidlawii PG-8A
GCF_000018825.1	Bacillus weihenstephanensis KBAB4
GCF_000018845.1	Methylobacterium extorquens PA1
GCF_000018865.1	Chloroflexus aurantiacus J-10-fl
GCF_000018885.1	Renibacterium salmoninarum ATCC 33209
GCF_000018945.1	Thermotoga neapolitana DSM 4359
GCF_000019045.1	Anoxybacillus flavithermus WK1
GCF_000019065.1	Thermoanaerobacter sp. X514
GCF_000019125.1	Pseudomonas putida GB-1
GCF_000019145.1	Caulobacter sp. K31
GCF_000019165.1	Heliobacterium modesticaldum Ice1
GCF_000019185.1	Shewanella halifaxensis HAW-EB4
GCF_000019205.1	Campylobacter lari RM2100
GCF_000019225.1	Cellvibrio japonicus Ueda107
GCF_000019285.1	Francisella philomiragia subsp. philomiragia ATCC 25017
GCF_000019365.1	Methylobacterium sp. 4-46
GCF_000019445.1	Pseudomonas putida W619
GCF_000019485.1	Synechococcus sp. PCC 7002
GCF_000019525.1	Shewanella woodyi ATCC 51908
GCF_000019605.1	Candidatus Korarchaeum cryptofilum OPF8
GCF_000019665.1	Methylacidiphilum infernorum V4
GCF_000019685.1	Borrelia duttonii Ly
GCF_000019725.1	Methylobacterium radiotolerans JCM 2831
GCF_000019745.1	Polynucleobacter necessarius subsp. necessarius STIR1
GCF_000019785.1	Leptothrix cholodnii SP-6
GCF_000019845.1	Beijerinckia indica subsp. indica ATCC 9039
GCF_000019905.1	Exiguobacterium sibiricum 255-15
GCF_000019925.1	Burkholderia ambifaria MC40-6
GCF_000019945.1	Methylobacterium populi BJ001
GCF_000019965.1	Opitutus terrae PB90-1
GCF_000020005.1	Natranaerobius thermophilus JW/NM-WN-LF
GCF_000020025.1	Nostoc punctiforme PCC 73102
GCF_000020045.1	Paraburkholderia phymatum STM815
GCF_000020065.1	Mycoplasma arthritidis 158L3-1
GCF_000020125.1	Paraburkholderia phytofirmans PsJN
GCF_000020145.1	Elusimicrobium minutum Pei191
GCF_000020165.1	Clostridium botulinum B str. Eklund 17B (NRP)
GCF_000020205.1	Ralstonia pickettii 12J
GCF_000020225.1	Akkermansia muciniphila ATCC BAA-835
GCF_000020265.1	Rhizobium etli CIAT 652
GCF_000020285.1	Clostridium botulinum E3 str. Alaska E43
GCF_000020325.1	Sulfurihydrogenibium sp. YO3AOP1
GCF_000020365.1	Desulfobacterium autotrophicum HRM2
GCF_000020385.1	Geobacter lovleyi SZ
GCF_000020425.1	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088
GCF_000020445.1	Rhodopseudomonas palustris TIE-1
GCF_000020465.1	Chlorobium limicola DSM 245
GCF_000020485.1	Halothermothrix orenii H 168
GCF_000020505.1	Chlorobaculum parvum NCIB 8327
GCF_000020525.1	Chloroherpeton thalassium ATCC 35110
GCF_000020545.1	Chlorobium phaeobacteroides BS1
GCF_000020565.1	Candidatus Amoebophilus asiaticus 5a2
GCF_000020585.3	Alteromonas mediterranea
GCF_000020605.1	[Eubacterium rectale] ATCC 33656
GCF_000020625.1	Prosthecochloris aestuarii DSM 271
GCF_000020645.1	Pelodictyon phaeoclathratiforme BU-1
GCF_000020665.1	Stenotrophomonas maltophilia R551-3
GCF_000020685.1	Deinococcus deserti VCD115
GCF_000020725.1	Geobacter bemidjiensis Bem
GCF_000020765.1	Streptococcus equi subsp. zooepidemicus MGCS10565
GCF_000020785.1	Hydrogenobaculum sp. Y04AAS1
GCF_000020805.1	Anaeromyxobacter sp. K
GCF_000020825.1	Acidithiobacillus ferrooxidans ATCC 53993
GCF_000020865.1	Edwardsiella tarda EIB202
GCF_000020905.1	Desulfurococcus kamchatkensis 1221n
GCF_000020945.1	Coprothermobacter proteolyticus DSM 5265
GCF_000020965.1	Dictyoglomus thermophilum H-6-12
GCF_000020985.1	Thermodesulfovibrio yellowstonii DSM 11347
GCF_000021025.1	Laribacter hongkongensis HLHK9
GCF_000021045.1	Azotobacter vinelandii DJ
GCF_000021265.1	Ureaplasma urealyticum serovar 10 str. ATCC 33699
GCF_000021285.1	Thermosipho africanus TCF52B
GCF_000021325.1	Gluconacetobacter diazotrophicus PA1 5
GCF_000021345.1	Rhizobium leguminosarum bv. trifolii WSM2304
GCF_000021365.1	Oligotropha carboxidovorans OM5
