	s	c	o	f	n
GCF_000759475.1_ASM75947v1_protein.faa.named.faa	0.04	0.05	0.39	0.53	0.69
GCF_000018085.1_ASM1808v1_protein.faa.named.faa	0.13	0.07	0.35	0.57	0.7
GCF_000967895.1_ASM96789v1_protein.faa.named.faa	0.09	0.02	0.44	0.83	0.62
GCF_000147055.1_ASM14705v1_protein.faa.named.faa	0.15	0.1	0.54	0.13	0.68
GCF_000981765.1_ASM98176v1_protein.faa.named.faa	0.05	0.03	0.26	0.39	0.52
GCF_000013185.1_ASM1318v1_protein.faa.named.faa	0.14	0.03	0.25	0.09	0.32
GCF_000283615.1_ASM28361v1_protein.faa.named.faa	0.03	0.0	0.16	0.05	0.14
GCF_000349845.1_ASM34984v1_protein.faa.named.faa	0.06	0.04	0.25	0.72	0.69
GCF_000025945.1_ASM2594v1_protein.faa.named.faa	0.61	0.11	0.1	0.49	0.5
GCF_000520015.2_ASM52001v2_protein.faa.named.faa	0.08	0.06	0.27	0.65	0.69
GCF_000283555.1_ASM28355v1_protein.faa.named.faa	0.04	0.0		0.06	0.09
GCF_000271665.2_ASM27166v2_protein.faa.named.faa	0.23	0.13	0.29	0.46	0.54
GCF_000026065.1_ASM2606v1_protein.faa.named.faa	0.01	0.01	0.12	0.25	0.08
GCF_001302585.1_ASM130258v1_protein.faa.named.faa	0.06	0.03	0.31	0.26	0.75
GCF_000214375.1_ASM21437v1_protein.faa.named.faa	0.13	0.17	0.37	0.11	0.34
GCF_000015985.1_ASM1598v1_protein.faa.named.faa	0.18	0.1	0.62	0.82	0.76
GCF_000161795.2_ASM16179v2_protein.faa.named.faa	0.15	0.06	0.78	0.33	0.61
GCF_000055785.1_ASM5578v1_protein.faa.named.faa	0.05	0.06	0.25	0.15	0.6
GCF_000328705.1_ASM32870v1_protein.faa.named.faa	0.16	0.05	0.45	0.26	0.73
GCF_000011225.1_ASM1122v1_protein.faa.named.faa	0.01	0.1	0.01	0.0	0.05
GCF_000238995.1_ASM23899v1_protein.faa.named.faa	0.02	0.0	0.01	0.12	0.01
GCF_001547895.1_ASM154789v1_protein.faa.named.faa	0.06	0.04	0.42	0.66	0.72
GCF_000331735.1_ASM33173v1_protein.faa.named.faa	0.01	0.05	0.34	0.51	0.74
GCF_000019725.1_ASM1972v1_protein.faa.named.faa	0.12	0.2	0.65	0.61	0.8
GCF_000006645.1_ASM664v1_protein.faa.named.faa	0.01	0.05	0.27	0.48	0.67
GCF_000008925.1_ASM892v1_protein.faa.named.faa	0.16	0.01	0.12	0.05	0.12
GCF_000219875.1_ASM21987v1_protein.faa.named.faa	0.13	0.03	0.21	0.21	0.4
GCF_000988565.1_ASM98856v1_protein.faa.named.faa	0.1	0.03	0.35	0.49	0.72
GCF_000092865.1_ASM9286v1_protein.faa.named.faa	0.12	0.03	0.34	0.31	0.68
GCF_000016325.1_ASM1632v1_protein.faa.named.faa	0.13	0.07	0.2	0.16	0.6
GCF_001639105.1_ASM163910v1_protein.faa.named.faa	0.07	0.06	0.53	0.48	0.76
GCF_000143705.1_ASM14370v1_protein.faa.named.faa	0.33	0.18	0.31	0.56	0.36
GCF_001563285.1_ASM156328v1_protein.faa.named.faa	0.03	0.03	0.32	0.69	0.69
GCF_000973625.1_ASM97362v1_protein.faa.named.faa	0.05	0.13	0.54	0.36	0.64
GCF_000022545.1_ASM2254v1_protein.faa.named.faa	0.34	0.08		0.01	0.35
GCF_900086555.1_34903_D01_protein.faa.named.faa	0.11	0.0	0.1	0.39	0.46
GCF_000217995.1_ASM21799v1_protein.faa.named.faa	0.38	0.89	0.47	0.3	0.49
GCF_000445995.2_ASM44599v2_protein.faa.named.faa	0.15	0.05	0.28	0.4	0.65
GCF_000261025.1_ASM26102v1_protein.faa.named.faa	0.02	0.01		0.4	0.27
GCF_001654495.1_ASM165449v1_protein.faa.named.faa	0.09	0.04	0.42	0.22	0.72
GCF_001543175.1_ASM154317v1_protein.faa.named.faa	0.31	0.07	0.01	0.24	0.1
GCF_000017425.1_ASM1742v1_protein.faa.named.faa	0.17	0.04	0.36	0.35	0.6
GCF_000317895.1_ASM31789v1_protein.faa.named.faa	0.06	0.0	0.11	0.6	0.49
GCF_000017505.1_ASM1750v1_protein.faa.named.faa	0.37	0.07	0.49	0.72	0.71
GCF_000723505.1_Mucivorans_M3_Nelson-Bomar-Fixed_protein.faa.named.faa	0.08	0.02		0.3	0.24
GCF_000179915.2_ASM17991v2_protein.faa.named.faa	0.13	0.07	0.4	0.56	0.7
GCF_001499655.1_PNK1_protein.faa.named.faa	0.06	0.01	0.15	0.26	0.47
GCF_000010605.1_ASM1060v1_protein.faa.named.faa	0.17	0.02	0.32	0.21	0.7
GCF_001007935.1_ASM100793v1_protein.faa.named.faa	0.04	0.07	0.3	0.79	0.66
GCF_000024725.1_ASM2472v1_protein.faa.named.faa	0.23	0.18	0.3	0.82	0.72
GCF_000186885.1_ASM18688v1_protein.faa.named.faa	0.57	0.12	0.38	0.59	0.6
GCF_000262205.1_ASM26220v1_protein.faa.named.faa	0.08	0.03	0.02	0.07	0.33
GCF_001267395.1_ASM126739v1_protein.faa.named.faa	0.01	0.0	0.08	0.02	0.14
GCF_000008125.1_ASM812v1_protein.faa.named.faa	0.27	0.04	0.36	0.41	0.64
GCF_000179395.2_ASM17939v2_protein.faa.named.faa	0.39	0.0	0.3	0.22	0.5
GCF_001274595.1_ASM127459v1_protein.faa.named.faa	0.01	0.04	0.16	0.4	0.57
GCF_000196395.1_ASM19639v1_protein.faa.named.faa	0.13	0.07	0.27	0.82	0.68
GCF_000385525.1_ASM38552v1_protein.faa.named.faa	0.05	0.04	0.4	0.56	0.73
GCF_000022885.2_ASM2288v2_protein.faa.named.faa	0.21	0.05	0.16	0.55	0.57
GCF_000236585.1_ASM23658v1_protein.faa.named.faa	0.28	0.04	0.37	0.53	0.6
GCF_000014065.1_ASM1406v1_protein.faa.named.faa	0.1	0.06	0.36	0.4	0.66
GCF_001687565.2_ASM168756v2_protein.faa.named.faa	0.01	0.02	0.29	0.34	0.47
GCF_000576555.1_ASM57655v1_protein.faa.named.faa	0.16	0.03	0.39	0.49	0.62
GCF_000270305.1_ASM27030v1_protein.faa.named.faa	0.18	0.09	0.35	0.15	0.42
GCF_000816225.1_ASM81622v1_protein.faa.named.faa	0.28	0.03	0.19	0.73	0.5
GCF_001277295.1_ASM127729v1_protein.faa.named.faa	0.16	0.12	0.61	0.35	0.77
GCF_000014285.1_ASM1428v1_protein.faa.named.faa	0.11	0.19	0.32	0.26	0.69
GCF_000145215.1_ASM14521v1_protein.faa.named.faa	0.27	0.1	0.07	0.04	0.31
GCF_000305785.2_ASM30578v2_protein.faa.named.faa	0.05	0.02	0.26	0.89	0.53
GCF_000010645.1_ASM1064v1_protein.faa.named.faa	0.16	0.06	0.41	0.07	0.39
GCF_000174395.2_ASM17439v2_protein.faa.named.faa	0.01	0.01	0.16	0.04	0.11
GCF_000154745.2_ASM15474v2_protein.faa.named.faa	0.11	0.06	0.36	0.37	0.67
GCF_000954115.1_ASM95411v1_protein.faa.named.faa	0.24	0.02	0.44	0.21	0.71
GCF_000336465.1_ASM33646v1_protein.faa.named.faa	0.17	0.04	0.33	0.52	0.7
GCF_000204925.1_ASM20492v1_protein.faa.named.faa	0.23	0.03	0.12	0.2	0.49
GCF_000517625.1_ASM51762v1_protein.faa.named.faa	0.07	0.11	0.32	0.15	0.62
GCF_000007105.1_ASM710v1_protein.faa.named.faa	0.16	0.07	0.48	0.36	0.44
GCF_001029105.3_ASM102910v3_protein.faa.named.faa	0.11	0.06	0.33	0.46	0.75
GCF_001017655.1_ASM101765v1_protein.faa.named.faa	0.11	0.02	0.08	0.06	0.24
GCF_000300455.3_ASM30045v4_protein.faa.named.faa	0.18	0.09	0.43	0.2	0.68
GCF_000807415.2_ASM80741v4_protein.faa.named.faa	0.13	0.07	0.2	0.15	0.6
GCF_000018425.1_ASM1842v1_protein.faa.named.faa	0.72	0.2	0.45	0.14	0.46
GCF_000772105.1_ASM77210v1_protein.faa.named.faa	0.04	0.04	0.28	0.76	0.53
GCF_000828675.1_ASM82867v1_protein.faa.named.faa	0.17	0.02	0.01	0.05	0.2
GCF_000145255.1_ASM14525v1_protein.faa.named.faa	0.21	0.07	0.4	0.7	0.55
GCF_000203875.1_ASM20387v1_protein.faa.named.faa	0.09	0.04	0.31	0.78	0.75
GCF_000013885.1_ASM1388v1_protein.faa.named.faa	0.1	0.02	0.4	0.59	0.71
GCF_001281385.1_ASM128138v1_protein.faa.named.faa	0.25	0.07	0.35	0.38	0.56
GCF_000812185.1_ASM81218v1_protein.faa.named.faa	0.19	0.03	0.26	0.25	0.43
GCF_000317085.1_ASM31708v1_protein.faa.named.faa	0.1	0.09	0.73	0.34	0.65
GCF_000007005.1_ASM700v1_protein.faa.named.faa	0.32	0.04	0.24	0.2	0.54
GCF_000270245.1_ASM27024v1_protein.faa.named.faa	0.07	0.02	0.33	0.29	0.7
GCF_000828635.1_ASM82863v1_protein.faa.named.faa	0.5	0.09	0.3	0.77	0.68
GCF_000092905.1_ASM9290v1_protein.faa.named.faa	0.29	0.04	0.41	0.41	0.62
GCF_000010665.1_ASM1066v1_protein.faa.named.faa	0.61	0.12	0.43	0.53	0.59
GCF_000014925.1_ASM1492v1_protein.faa.named.faa	0.35	0.01	0.33	0.25	0.59
GCF_000412695.1_ASM41269v1_protein.faa.named.faa	0.03	0.04	0.32	0.61	0.71
GCF_000307105.1_ASM30710v1_protein.faa.named.faa	0.64	0.17	0.15	0.54	0.52
GCF_000186265.1_ASM18626v1_protein.faa.named.faa	0.11	0.01	0.32	0.51	0.53
GCF_000023945.1_ASM2394v1_protein.faa.named.faa	0.25	0.16	0.32	0.36	0.59
GCF_000828515.1_ASM82851v1_protein.faa.named.faa	0.13	0.04	0.24	0.09	0.34
GCF_000092505.1_ASM9250v1_protein.faa.named.faa	0.2	0.0	0.1	0.05	0.1
GCF_000196875.1_ASM19687v1_protein.faa.named.faa	0.05	0.03	0.31	0.52	0.64
GCF_000007745.1_ASM774v1_protein.faa.named.faa	0.2	0.04	0.17	0.59	0.4
GCF_000299395.1_ASM29939v1_protein.faa.named.faa	0.19	0.07	0.24	0.24	0.45
GCF_000013165.1_ASM1316v1_protein.faa.named.faa	0.05	0.01	0.12	0.38	0.32
GCF_000014265.1_ASM1426v1_protein.faa.named.faa	0.2	0.15	0.68	0.41	0.74
GCF_000422085.1_ASM42208v1_protein.faa.named.faa	0.13	0.07	0.34	0.57	0.7
GCF_000319385.1_ASM31938v1_protein.faa.named.faa	0.06	0.02	0.22	0.33	0.33
GCF_000143085.1_ASM14308v1_protein.faa.named.faa	0.11	0.13	0.3	0.68	0.69
GCF_000724505.1_ASM72450v1_protein.faa.named.faa	0.11	0.07	0.2	0.19	0.62
GCF_000143985.1_ASM14398v1_protein.faa.named.faa	0.11	0.13	0.33	0.07	0.3
GCF_000016605.1_ASM1660v1_protein.faa.named.faa	0.4	0.06	0.25	0.2	0.52
GCF_000024385.1_ASM2438v1_protein.faa.named.faa	0.15	0.05	0.34	0.24	0.71
GCF_000262305.1_ASM26230v1_protein.faa.named.faa	0.21	0.06	0.25	0.59	0.69
GCF_000941055.1_ASM94105v1_protein.faa.named.faa	0.1	0.01	0.31	0.36	0.44
GCF_000147355.1_ASM14735v1_protein.faa.named.faa	0.46	0.07	0.32	0.66	0.56
GCF_000146065.2_ASM14606v1_protein.faa.named.faa	0.07	0.01		0.08	0.2
GCF_001026985.1_ASM102698v1_protein.faa.named.faa	0.09	0.06	0.28	0.63	0.7
GCF_000013365.1_ASM1336v1_protein.faa.named.faa	0.03	0.1	0.72	0.74	0.78
GCF_000092885.1_ASM9288v1_protein.faa.named.faa	0.21	0.19	0.55	0.33	0.82
GCF_001028085.1_ASM102808v1_protein.faa.named.faa	0.15	0.03	0.36	0.38	0.55
GCF_000237995.1_ASM23799v2_protein.faa.named.faa	0.18	0.02	0.12	0.03	0.11
GCF_000163055.2_ASM16305v2_protein.faa.named.faa	0.04	0.02	0.04	0.37	0.24
GCF_000214415.1_ASM21441v1_protein.faa.named.faa	0.36	0.87	0.47	0.05	0.37
GCF_000015585.1_ASM1558v1_protein.faa.named.faa	0.26	0.11	0.41	0.72	0.62
GCF_000597885.1_ASM59788v1_protein.faa.named.faa	0.07	0.03	0.32	0.51	0.63
GCF_000015745.1_ASM1574v1_protein.faa.named.faa	0.18	0.06	0.3	0.38	0.58
GCF_000021365.1_ASM2136v1_protein.faa.named.faa	0.07	0.04	0.27	0.47	0.71
GCF_000196895.1_ASM19689v1_protein.faa.named.faa	0.08	0.11	0.29	0.25	0.62
GCF_000147715.2_ASM14771v3_protein.faa.named.faa	0.11	0.04	0.02	0.04	0.27
GCF_000956175.1_ASM95617v1_protein.faa.named.faa	0.17	0.07	0.26	0.25	0.44
GCF_000828655.1_ASM82865v1_protein.faa.named.faa	0.21	0.03	0.0	0.05	0.19
GCF_000253155.1_ASM25315v1_protein.faa.named.faa	0.26	0.0	0.05	0.07	0.1
GCF_000247715.1_ASM24771v1_protein.faa.named.faa	0.06	0.04	0.44	0.25	0.67
GCF_000024505.1_ASM2450v1_protein.faa.named.faa	0.03	0.02	0.17	0.35	0.33
GCF_000219915.2_ASM21991v3_protein.faa.named.faa	0.03	0.04	0.09	0.18	0.51
GCF_000196315.1_ASM19631v1_protein.faa.named.faa	0.28	0.27	0.16	0.43	0.26
GCF_000092845.1_ASM9284v1_protein.faa.named.faa	0.0	0.07	0.01	0.16	0.24
GCF_000006845.1_ASM684v1_protein.faa.named.faa	0.01	0.02	0.09	0.29	0.46
GCF_000512205.2_ASM51220v2_protein.faa.named.faa	0.17	0.09	0.56	0.67	0.78
GCF_000026005.1_ASM2600v1_protein.faa.named.faa	0.03	0.02	0.19	0.35	0.33
GCF_000829965.1_ASM82996v1_protein.faa.named.faa	0.13	0.09	0.49	0.37	0.75
GCF_000010425.1_ASM1042v1_protein.faa.named.faa	0.05	0.01	0.13	0.08	0.13
GCF_000355695.1_ASM35569v1_protein.faa.named.faa	0.47	0.21	0.29	0.22	0.43
GCF_000512735.1_ASM51273v1_protein.faa.named.faa	0.42	0.07	0.37	0.69	0.6
GCF_000747315.1_ASM74731v1_protein.faa.named.faa	0.3	0.14	0.42	0.28	0.39
GCF_000022025.1_ASM2202v1_protein.faa.named.faa	0.45	0.01	0.33	0.23	0.59
GCF_000006605.1_ASM660v1_protein.faa.named.faa	0.47	0.01	0.35	0.22	0.37
GCF_000973105.1_ASM97310v1_protein.faa.named.faa	0.05	0.05	0.33	0.5	0.53
GCF_001298525.1_ASM129852v1_protein.faa.named.faa	0.08	0.03	0.25	0.34	0.53
GCF_001281115.1_ASM128111v1_protein.faa.named.faa	0.07	0.03	0.31	0.27	0.59
GCF_000017805.1_ASM1780v1_protein.faa.named.faa	0.32	0.09	0.48	0.53	0.65
GCF_000284035.1_ASM28403v1_protein.faa.named.faa	0.19	0.03	0.31	0.21	0.7
GCF_000015785.1_ASM1578v1_protein.faa.named.faa	0.13	0.01	0.32	0.34	0.58
GCF_000761215.1_ASM76121v1_protein.faa.named.faa	0.26	0.02	0.35	0.26	0.7
GCF_000319225.1_ASM31922v1_protein.faa.named.faa	0.04	0.06	0.08	0.05	0.29
GCF_000494755.1_ASM49475v1_protein.faa.named.faa	0.12	0.03	0.33	0.26	0.72
GCF_000762265.1_ASM76226v1_protein.faa.named.faa	0.31	0.87	0.42	0.06	0.38
GCF_000775995.1_ASM77599v1_protein.faa.named.faa	0.02	0.01		0.03	0.12
GCF_000212375.1_ASM21237v1_protein.faa.named.faa	0.08	0.06		0.14	0.17
GCF_000007945.1_ASM794v1_protein.faa.named.faa	0.23	0.02	0.01	0.43	0.26
GCF_000020985.1_ASM2098v1_protein.faa.named.faa	0.65	0.16	0.33	0.63	0.53
GCF_001275345.1_ASM127534v1_protein.faa.named.faa	0.3	0.0	0.32	0.19	0.5
GCF_000145615.1_ASM14561v1_protein.faa.named.faa	0.18	0.08	0.41	0.08	0.39
GCF_000235565.1_ASM23556v1_protein.faa.named.faa	0.42	0.88	0.43	0.08	0.43
GCF_000204415.1_ASM20441v1_protein.faa.named.faa	0.33	0.87	0.42	0.07	0.5
GCF_000013225.1_ASM1322v1_protein.faa.named.faa	0.21	0.14	0.67	0.33	0.62
GCF_000025185.1_ASM2518v1_protein.faa.named.faa	0.04	0.17	0.35	0.6	0.7
GCF_000211855.2_ASM21185v3_protein.faa.named.faa	0.35	0.03	0.24	0.3	0.33
GCF_000015545.1_ASM1554v1_protein.faa.named.faa	0.04	0.05	0.31	0.64	0.71
GCF_000600105.1_ASM60010v1_protein.faa.named.faa	0.18	0.05	0.22	0.44	0.49
GCF_000152945.2_ASM15294v2_protein.faa.named.faa	0.12	0.01	0.34	0.33	0.36
GCF_000522545.2_ASM52254v2_protein.faa.named.faa	0.25	0.18	0.42	0.45	0.77
GCF_000018365.1_ASM1836v1_protein.faa.named.faa	0.49	0.13		0.02	0.29
GCF_001483945.1_ASM148394v1_protein.faa.named.faa	0.04	0.06	0.57	0.51	0.8
GCF_000063485.1_ASM6348v1_protein.faa.named.faa	0.55	0.08	0.27	0.22	0.43
GCF_000818035.1_ASM81803v1_protein.faa.named.faa	0.09	0.03	0.21	0.39	0.53
GCF_000757865.1_ASM75786v1_protein.faa.named.faa	0.17	0.06	0.78	0.33	0.5
GCF_000090965.1_ASM9096v1_protein.faa.named.faa	0.1	0.01	0.14	0.1	0.26
GCF_000316175.1_ASM31617v1_protein.faa.named.faa	0.11	0.04	0.32	0.63	0.71
GCF_000389965.1_ASM38996v1_protein.faa.named.faa	0.11	0.03	0.34	0.26	0.71
GCF_001611795.1_ASM161179v1_protein.faa.named.faa	0.12	0.04	0.33	0.3	0.7
GCF_000017305.1_ASM1730v1_protein.faa.named.faa	0.14	0.01	0.38	0.22	0.56
GCF_000317105.1_ASM31710v1_protein.faa.named.faa	0.16	0.13	0.61	0.44	0.7
GCF_000737575.1_ASM73757v1_protein.faa.named.faa	0.12	0.05	0.8	0.33	0.63
GCF_000241875.1_ASM24187v1_protein.faa.named.faa	0.1	0.02	0.29	0.22	0.37
GCF_001553935.1_ASM155393v1_protein.faa.named.faa	0.05	0.04	0.22	0.14	0.45
GCF_000022125.1_ASM2212v1_protein.faa.named.faa	0.65	0.07	0.16	0.47	0.43
GCF_000184345.1_ASM18434v2_protein.faa.named.faa	0.06	0.06	0.26	0.16	0.32
GCF_000024185.1_ASM2418v1_protein.faa.named.faa	0.33	0.82	0.36	0.06	0.33
GCF_000511405.1_ASM51140v1_protein.faa.named.faa	0.21	0.06	0.43	0.39	0.59
GCF_001579905.1_ASM157990v1_protein.faa.named.faa	0.1	0.06	0.43	0.74	0.76
GCF_000758525.1_ASM75852v1_protein.faa.named.faa	0.17	0.05	0.51	0.37	0.59
GCF_000146165.2_ASM14616v2_protein.faa.named.faa	0.14	0.06	0.27	0.91	0.65
GCF_000017885.4_ASM1788v4_protein.faa.named.faa	0.08	0.01	0.35	0.34	0.52
GCF_000011305.1_ASM1130v1_protein.faa.named.faa	0.22	0.0	0.4	0.23	0.45
GCF_000342265.1_ASM34226v1_protein.faa.named.faa	0.1	0.07	0.3	0.45	0.62
GCF_000183155.1_ASM18315v1_protein.faa.named.faa	0.02	0.1	0.08	0.61	0.39
GCF_000092205.1_ASM9220v1_protein.faa.named.faa	0.64	0.16	0.38	0.45	0.6
GCF_001431725.1_ASM143172v1_protein.faa.named.faa	0.01	0.04	0.3	0.65	0.73
GCF_000517405.1_ASM51740v1_protein.faa.named.faa	0.09	0.03	0.15	0.18	0.39
GCF_000347635.1_ASM34763v1_protein.faa.named.faa	0.19	0.03	0.44	0.7	0.57
GCF_001186335.1_ASM118633v1_protein.faa.named.faa	0.05	0.04	0.31	0.53	0.7
GCF_000196095.1_ASM19609v1_protein.faa.named.faa	0.05	0.03	0.29	0.95	0.54
GCF_000510265.1_ASM51026v1_protein.faa.named.faa	0.06	0.03	0.23	0.31	0.35
GCF_000237145.1_ASM23714v1_protein.faa.named.faa	0.12	0.03	0.33	0.27	0.73
GCF_001586155.1_ASM158615v1_protein.faa.named.faa	0.1	0.04	0.31	0.65	0.72
GCF_000008325.1_ASM832v1_protein.faa.named.faa	0.26	0.21	0.62	0.74	0.86
GCF_000376585.1_ASM37658v1_protein.faa.named.faa	0.05	0.03	0.2	0.33	0.33
GCF_000224675.1_ASM22467v1_protein.faa.named.faa	0.09	0.07	0.2	0.19	0.6
GCF_000092305.1_ASM9230v1_protein.faa.named.faa	0.48	0.88	0.47	0.07	0.36
GCF_000305935.1_ASM30593v1_protein.faa.named.faa	0.36	0.21	0.32	0.29	0.42
GCF_001439585.2_ASM143958v2_protein.faa.named.faa	0.08	0.04	0.38	0.34	0.62
GCF_000007785.1_ASM778v1_protein.faa.named.faa	0.04	0.02	0.02	0.06	0.18
GCF_000699505.1_ASM69950v1_protein.faa.named.faa	0.33	0.01	0.32	0.29	0.33
GCF_000006725.1_ASM672v1_protein.faa.named.faa	0.09	0.04	0.39	0.43	0.57
GCF_000017245.1_ASM1724v1_protein.faa.named.faa	0.24	0.04	0.16	0.53	0.42
GCF_000758645.1_ASM75864v1_protein.faa.named.faa	0.23	0.06	0.57	0.34	0.62
GCF_001273775.1_ASM127377v1_protein.faa.named.faa	0.16	0.06	0.36	0.72	0.73
GCF_001047675.1_ASM104767v1_protein.faa.named.faa	0.13	0.05	0.26	0.62	0.69
GCF_000757785.1_ASM75778v1_protein.faa.named.faa	0.11	0.05	0.16	0.56	0.64
GCF_000270085.1_ASM27008v1_protein.faa.named.faa	0.12	0.0	0.07	0.07	0.03
GCF_000316665.1_ASM31666v1_protein.faa.named.faa	0.18	0.09	0.53	0.36	0.75
